"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ISM00040180","1943-11-01","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  241","H,,S"
"ISM00040180","1943-11-02","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  229","H,,S"
"ISM00040180","1943-11-03","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  231","H,,S"
"ISM00040180","1943-11-04","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  197","H,,S"
"ISM00040180","1943-11-05","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  196","H,,S"
"ISM00040180","1943-11-06","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  193","H,,S"
"ISM00040180","1943-11-07","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  199","H,,S"
"ISM00040180","1943-11-08","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  228","H,,S"
"ISM00040180","1943-11-09","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  261","H,,S"
"ISM00040180","1943-11-10","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  221","H,,S"
"ISM00040180","1943-11-11","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  207","H,,S"
"ISM00040180","1943-11-12","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  190","H,,S"
"ISM00040180","1943-11-13","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  217","H,,S"
"ISM00040180","1943-11-14","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  207","H,,S"
"ISM00040180","1943-11-15","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  189","H,,S"
"ISM00040180","1943-11-16","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  187","H,,S"
"ISM00040180","1943-11-17","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  186","H,,S"
"ISM00040180","1943-11-18","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  182","H,,S"
"ISM00040180","1943-11-19","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  181","H,,S"
"ISM00040180","1943-11-20","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  199","H,,S"
"ISM00040180","1943-11-21","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  181","H,,S"
"ISM00040180","1943-11-22","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  194","H,,S"
"ISM00040180","1943-11-23","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  215","H,,S"
"ISM00040180","1943-11-24","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  219","H,,S"
"ISM00040180","1943-11-25","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  201","H,,S"
"ISM00040180","1943-11-26","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  186","H,,S"
"ISM00040180","1943-11-27","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  190","H,,S"
"ISM00040180","1943-11-28","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  178","H,,S"
"ISM00040180","1943-11-29","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  181","H,,S"
"ISM00040180","1943-11-30","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  170","H,,S"
"ISM00040180","1943-12-01","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  185","H,,S"
"ISM00040180","1943-12-02","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  177","H,,S"
"ISM00040180","1943-12-03","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  168","H,,S"
"ISM00040180","1943-12-04","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  169","H,,S"
"ISM00040180","1943-12-05","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  178","H,,S"
"ISM00040180","1943-12-06","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  174","H,,S"
"ISM00040180","1943-12-07","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  160","H,,S"
"ISM00040180","1943-12-08","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  144","H,,S"
"ISM00040180","1943-12-09","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  147","H,,S"
"ISM00040180","1943-12-10","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  166","H,,S"
"ISM00040180","1943-12-11","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  180","H,,S"
"ISM00040180","1943-12-12","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  191","H,,S"
"ISM00040180","1943-12-13","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  181","H,,S"
"ISM00040180","1943-12-14","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  166","H,,S"
"ISM00040180","1943-12-15","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  170","H,,S"
"ISM00040180","1943-12-16","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  154","H,,S"
"ISM00040180","1943-12-17","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  150","H,,S"
"ISM00040180","1943-12-18","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  151","H,,S"
"ISM00040180","1943-12-19","32.011","34.887","41.1","BEN GURION, IS",,,,,,,,,"  151","H,,S"
