"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"IS000051690","1921-09-30","31.25","34.8164","280.0","BEER SHEVA, IS","    0",",,E",,,,,,
"IS000051690","1921-10-01","31.25","34.8164","280.0","BEER SHEVA, IS","    0",",,E",,,,,,
"IS000051690","1921-10-02","31.25","34.8164","280.0","BEER SHEVA, IS","    0",",,E",,,,,,
"IS000051690","1921-10-03","31.25","34.8164","280.0","BEER SHEVA, IS","    0",",,E",,,,,,
"IS000051690","1921-10-04","31.25","34.8164","280.0","BEER SHEVA, IS","    0",",,E",,,,,,
"IS000051690","1921-10-05","31.25","34.8164","280.0","BEER SHEVA, IS","    0",",,E",,,,,,
"IS000051690","1921-10-06","31.25","34.8164","280.0","BEER SHEVA, IS","    0",",,E",,,,,,
"IS000051690","1921-10-07","31.25","34.8164","280.0","BEER SHEVA, IS","    0",",,E",,,,,,
"IS000051690","1921-10-08","31.25","34.8164","280.0","BEER SHEVA, IS","    0",",,E",,,,,,
"IS000051690","1921-10-09","31.25","34.8164","280.0","BEER SHEVA, IS","    0",",,E",,,,,,
"IS000051690","1921-10-10","31.25","34.8164","280.0","BEER SHEVA, IS","    0",",,E",,,,,,
"IS000051690","1921-10-11","31.25","34.8164","280.0","BEER SHEVA, IS","    0",",,E",,,,,,
"IS000051690","1921-10-12","31.25","34.8164","280.0","BEER SHEVA, IS","    0",",,E",,,,,,
"IS000051690","1921-10-13","31.25","34.8164","280.0","BEER SHEVA, IS","    0",",,E",,,,,,
"IS000051690","1921-10-14","31.25","34.8164","280.0","BEER SHEVA, IS","    0",",,E",,,,,,
"IS000051690","1921-10-15","31.25","34.8164","280.0","BEER SHEVA, IS","    0",",,E",,,,,,
"IS000051690","1921-10-16","31.25","34.8164","280.0","BEER SHEVA, IS","    0",",,E",,,,,,
"IS000051690","1921-10-17","31.25","34.8164","280.0","BEER SHEVA, IS","    0",",,E",,,,,,
"IS000051690","1921-10-18","31.25","34.8164","280.0","BEER SHEVA, IS","    0",",,E",,,,,,
"IS000051690","1921-10-19","31.25","34.8164","280.0","BEER SHEVA, IS","    0",",,E",,,,,,
"IS000051690","1921-10-20","31.25","34.8164","280.0","BEER SHEVA, IS","    0",",,E",,,,,,
"IS000051690","1921-10-21","31.25","34.8164","280.0","BEER SHEVA, IS","    0",",,E",,,,,,
"IS000051690","1921-10-22","31.25","34.8164","280.0","BEER SHEVA, IS","    0",",,E",,,,,,
"IS000051690","1921-10-23","31.25","34.8164","280.0","BEER SHEVA, IS","    0",",,E",,,,,,
"IS000051690","1921-10-24","31.25","34.8164","280.0","BEER SHEVA, IS","    0",",,E",,,,,,
"IS000051690","1921-10-25","31.25","34.8164","280.0","BEER SHEVA, IS","    0",",,E",,,,,,
"IS000051690","1921-10-26","31.25","34.8164","280.0","BEER SHEVA, IS","    0",",,E",,,,,,
"IS000051690","1921-10-27","31.25","34.8164","280.0","BEER SHEVA, IS","    0",",,E",,,,,,
